Date,Week ,Site #,Camera #,Start Time,End Time,Weather,Conditions,Wind,Wind direction,Activity on site,Activity around ,Video Duration,Shift type,Notes
6/19/2025,1b,1,1,11:00:00 AM,11:30:00 AM,66,overcast,2.5,S ,none,none,30 min,Morning,
6/19/2025,1b,2,2,11:00:00 AM,11:30:00 AM,66,overcast,2.5,S ,none,none,30 min,Morning,
6/19/2025,1b,3,1,11:30:00 AM,12:00:00 PM,68,overcast,5.5,SW,none,none,30 min,Morning,
6/19/2025,1b,4,2,11:30:00 AM,12:00:00 PM,68,overcast,5.5,SW,none,"small bird flying over plant, landing on stakes",9 min,Morning,?
6/19/2025,1b,3,1,12:00:00 PM,12:30:00 PM,68,overcast,4.8,SW,none,"small bird flying over plant, landing on stakes",30 min,Mid,
6/19/2025,1b,2,2,12:00:00 PM,12:30:00 PM,68,overcast,4.8,SW,none,none,13.07 min,Mid,?
6/19/2025,1b,4,1,12:30:00 PM,1:00:00 PM,68,mostly cloudy,4.5,SW,none,none,14 min,Mid,14 min bc camera died
6/19/2025,1b,1,2,12:30:00 PM,1:00:00 PM,68,mostly cloudy,4.5,SW,none,none,30 min,Mid,
6/19/2025,1b,2,1,3:00:00 PM,3:30:00 PM,69,sunny,6.1,SW,,,30 min,Afternoon,
6/19/2025,1b,1,2,3:00:00 PM,3:30:00 PM,69,sunny,6.1,SW,,,12 min then froze,Afternoon,32G SD card is glitchy- camera falls asleep
6/19/2025,1b,3,1,3:30:00 PM,4:00:00 PM,69,sunny,7.2,SW,,,11:19min,Afternoon,overheated/died
6/19/2025,1b,4,2,3:30:00 PM,4:00:00 PM,69,sunny,7.2,SW,,,0,Afternoon,overheated/died
6/20/2025,1c,1,1,2:00:00 PM,2:30:00 PM,71,sunny,2.3,SW,1 bombus vos. on plan,bombus vos. around + others,30 min,Mid,troubleshooting with cardboard and yarn
6/20/2025,1c,2,2,2:00:00 PM,2:30:00 PM,71,sunny,2.3,SW,bombus V in quadrants w orange pollen,none,30 min,Mid,troubleshooting with cardboard and yarn
6/20/2025,1c,3,1,2:30:00 PM,3:00:00 PM,71,sunny,2.8,SW,bombus V in quadrants w orange pollen,bombus v. ,30 min,Mid,troubleshooting with cardboard and yarn
6/20/2025,1c,4,2,2:30:00 PM,3:00:00 PM,71,sunny,2.8,SW,bombus V in quadrants w orange pollen,bombus v. ,30 min,Mid,troubleshooting with cardboard and yarn
6/23/2025,2a,3,2,9:00:00 AM,9:30:00 AM,66,sunny,2.8,S,None,None,30 min,Morning,
6/23/2025,2a,2,1,9:30:00 AM,10:00:00 AM,66,sunny,2.8,S,None,1 B. californicus,30 min,Morning,32GB card ran out of memory; switched to the 64GB card.
6/23/2025,2a,4,2,9:30:00 AM,10:00:00 AM,67,sunny,5.1,SSW,None,None,30 min,Morning,
6/23/2025,2a,1,1,10:00:00 AM,10:30:00 AM,67,sunny,5.1,SSW,None,None,30 min,Morning,
6/23/2025,2a,2,1,1:00:00 PM,1:30:00 PM,69,sunny,5.5,SSW,None,None,30 min,Mid,
6/23/2025,2a,1,2,1:00:00 PM,1:30:00 PM,69,sunny,5.5,SSW,None,None,30 min,Mid,
6/23/2025,2a,4,1,3:00:00 PM,3:30:00 PM,67,sunny,6.2,SW,None,None,18min,Mid,Camera died while recording
6/23/2025,2a,3,2,3:00:00 PM,3:30:00 PM,67,sunny,6.2,SW,2 B. californicus with orange pollen (1 maybe with a phoretic mite on thorax?),2 B. californicus ,30 min,Mid,
6/23/2025,2a,1,2,5:40:00 PM,6:10:00 PM,64,sunny,7,WSW,None,None,30min,Afternoon,
6/23/2025,2a,2,1,5:40:00 PM,6:10:00 PM,64,sunny,7,WSW,None,None,30min,Afternoon,
6/23/2025,2a,3,1,6:10:00 PM,6:25:00 PM,64,sunny,2.1,WSW,None,None,15min,Afternoon,Camera died while recording
6/23/2025,2a,4,2,6:10:00 PM,6:12:00 PM,64,sunny,2.1,WSW,None,None,2min,Afternoon,Camera died while recording
6/24/2025,2b,4,1,9:00:00 AM,9:30:00 AM,61,overcast,2.4,SSE,None,None,30min,Morning,
6/24/2025,2b,3,2,9:00:00 AM,9:30:00 AM,61,overcast,2.4,SSE,None,None,30min,Morning,
6/24/2025,2b,1,1,9:30:00 AM,10:00:00 AM,61,overcast,3.2,SSE,None,None,30min,Morning,
6/24/2025,2b,2,2,9:30:00 AM,10:00:00 AM,61,overcast,3.2,SSE,None,None,30min,Morning,
6/24/2025,2b,1,1,12:30:00 PM,1:00:00 PM,64,overcast,6.6,SSW,None,None,30min,Mid,Bembix flying around
6/24/2025,2b,2,2,12:30:00 PM,13:00,64,overcast,6.6,SSW,None,None,30min,Mid,
6/24/2025,2b,4,1,1:00:00 PM,1:30:00 PM,65,overcast,5.1,SSW,None,None,30min,Mid,
6/24/2025,2b,3,2,1:00:00 PM,1:30:00 PM,65,overcast,5.1,SSW,None,1 B. californicus ,30min,Mid,
6/24/2025,2b,1,1,3:00:00 PM,3:30:00 PM,65,mostly cloudy,6.8,SW,None,None,30min,Afternoon,Maybe 1 Bombus in background. Became sunny 1/2 way through recording.
6/24/2025,2b,2,2,3:00:00 PM,3:30:00 PM,65,mostly cloudy,6.8,SW,None,None,30min,Afternoon,Became sunny 1/2 way through recording.
6/24/2025,2b,4,1,3:30:00 PM,4:00:00 PM,64,sunny,7,SW,None,2 B. californicus,30min,Afternoon,
6/24/2025,2b,3,2,3:30:00 PM,4:00:00 PM,64,sunny,7,SW,1 B. californicus,1 B. californicus,30min,Afternoon,
6/26/2025,2c,4,1,10:00:00 AM,10:30:00 AM,63,overcast,2.9,SE,none,none,30min,Morning,
6/26/2025,2c,3,2,10:00:00 AM,10:30:00 AM,63,overcast,2.9,SE,none,none,30min,Morning,
6/26/2025,2c,2,1,10:30:00 AM,11:00:00 AM,63,overcast,2.6,SE,none,none,30min,Morning,
6/26/2025,2c,1,2,10:30:00 AM,11:00:00 AM,63,overcast,2.6,SE,none,none,30min,Morning,
6/26/2025,2c,1,1,12:30:00 PM,1:00:00 PM,66,mostly cloudy,7,SSW,none,none,25:37min,Mid,camera stopped recording: memory card full
6/26/2025,2c,4,2,12:30:00 PM,1:00:00 PM,66,mostly cloudy,7,SSW,none,1 B. californicus,12:40min,Mid,camera stopped recording: memory card full. Bembix sp flying around.
6/26/2025,2c,4,1,4:00:00 PM,4:30:00 PM,66,mostly cloudy,8.1,WSW,none,1 B. californicus,30min,Afternoon,
6/26/2025,2c,1,2,4:00:00 PM,4:30:00 PM,66,mostly cloudy,8.1,WSW,none,1 B. californicus,30min,Afternoon,
6/26/2025,2c,3,1,4:30:00 PM,5:00:00 PM,68,mostly cloudy,8.4,WSW,none,none,30min,Afternoon,
6/26/2025,2c,2,2,4:30:00 PM,5:00:00 PM,68,mostly cloudy,8.4,WSW,1 B. californicus,1 B. californicus,30min,Afternoon,
7/3/2025,3a,1,1,9:30:00 AM,10:00:00 AM,65,overcast,3.5,ESE,na,white butterflies,30min,Morning,
7/3/2025,3a,2,2,9:30:00 AM,10:00:00 AM,65,overcast,3.5,ESE,na,white butterflies,30min,Morning,
7/3/2025,3a,3,1,10:00:00 AM,10:30:00 AM,65,overcast,2.2,SE,na,white igret,30min,Morning,
7/3/2025,3a,4,2,10:00:00 AM,10:30:00 AM,65,overcast,2.2,SE,na,white igret,30min,Morning,
7/3/2025,3a,1,1,2:00:00 AM,2:30:00 AM,73,sunny,4.8,WSW,na,na,30min,Mid,"see video with timestamp, too windy for bees? no insects out at all"
7/3/2025,3a,2,2,2:00:00 AM,2:30:00 AM,73,sunny,4.8,WSW,na,na,30min,Mid,
7/3/2025,3a,3,1,2:30:00 AM,3:00:00 AM,73,sunny,7,WSW,na,na,30min,Mid,
7/3/2025,3a,4,2,2:30:00 AM,3:00:00 AM,73,sunny,7,WSW,na,na,30min,Mid,
7/3/2025,3a,4,2,3:00:00 AM,3:30:00 AM,73,sunny,8.3,WSW,2 bombus,1 bombus flying close,30min,Afternoon,
7/3/2025,3a,3,1,3:00:00 AM,3:30:00 AM,73,sunny,8.3,WSW,na,1 bombus flying close,30min,Afternoon,
7/3/2025,3a,1,2,3:30:00 AM,4:00:00 AM,73,sunny,7.8,WSW,na,1 bombus flying close,20 min,Afternoon,died
7/3/2025,3a,2,1,3:30:00 AM,4:00:00 AM,73,sunny,7.8,WSW,1 bombus,2 bombus flying close,22 min,Afternoon,died
7/7/2025,4a,3,1,9:30:00 AM,10:00:00 AM,63,overcast,4.2,SW,na,1 bombus,30min,Morning,
7/7/2025,4a,4,2,9:30:00 AM,10:00:00 AM,63,overcast,4.2,SW,na,na,30min,Morning,
7/7/2025,4a,1,1,10:00:00 AM,10:30:00 AM,65,overcast,3.1,SW,1 bombus,na,30min,Morning,
7/7/2025,4a,2,2,10:00:00 AM,10:30:00 AM,65,overcast,3.1,SW,na,2 bombus,30min,Morning,
7/7/2025,4a,2,1,1:00:00 AM,1:30:00 AM,68,sunny,2.8,WSW,1,na,30min,Mid,
7/7/2025,4a,1,2,1:00:00 AM,1:30:00 AM,68,sunny,2.8,WSW,na,na,30min,Mid,
7/7/2025,4a,4,1,1:30:00 AM,2:00:00 AM,68,sunny,3.2,WSW,na,1,30min,Mid,
7/7/2025,4a,3,2,1:30:00 AM,2:00:00 AM,68,sunny,3.2,WSW,na,na,30min,Mid,
7/7/2025,4a,3,1,3:30:00 AM,4:00:00 AM,68,sunny,3,SW,na,na,30min,Afternoon,
7/7/2025,4a,4,2,3:30:00 AM,4:00:00 AM,68,sunny,3,SW,1,2,30min,Afternoon,
7/7/2025,4a,1,1,4:00:00 AM,4:30:00 AM,68,sunny,4.2,SW,1,,25min,Afternoon,died
7/7/2025,4a,2,2,4:00:00 AM,4:30:00 AM,68,sunny,4.2,SW,na,2,22min ,Afternoon,died
7/9/2025,4b,1,1,10:00,10:30:00 AM,70,sunny,3,SSE,na,na,30min,Morning,
7/9/2025,4b,2,2,10:00,10:30:00 AM,70,sunny,3,SSE,na,na,30min,Morning,
7/9/2025,4b,3,1,10:30:00 AM,11:00:00 AM,70,sunny,5.2,SSE,na,na,30min,Morning,
7/9/2025,4b,4,2,10:30:00 AM,11:00:00 AM,70,sunny,5.2,SSE,na,na,30min,Morning,
7/9/2025,4b,3,1,11:00:00 AM,11:30:00 AM,72,sunny,2.8,SSW,na,1,30min,Mid,
7/9/2025,4b,4,2,11:00:00 AM,11:30:00 AM,72,sunny,2.8,SSW,1,na,30min,Mid,
7/9/2025,4b,2,1,11:30:00 AM,12:00:00 PM,73,sunny,3,SSW,na,na,30min,Mid,
7/9/2025,4b,1,2,11:30:00 AM,12:00:00 PM,73,sunny,3,SSW,1,na,30min,Mid,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
7/9/2025,4b,,,,,,,,,,,,Afternoon,